Date	Time	Number	Minutes
9/27/2011	4:01 PM	5555555555	32
9/27/2011	3:59 PM	5555555555	1
9/26/2011	7:33 PM	5555555555	21
9/26/2011	7:30 PM	5555555555	1
9/26/2011	7:26 PM	5555555555	1
9/26/2011	4:47 PM	5555555555	2
9/26/2011	1:46 PM	5555555555	1
9/25/2011	12:10 PM	5555555555	1
9/25/2011	12:00 PM	5555555555	1
9/24/2011	7:59 PM	5555555555	3
9/24/2011	2:38 PM	5555555555	1
9/23/2011	10:54 PM	5555555555	67
9/23/2011	10:41 PM	5555555555	1
9/22/2011	9:52 PM	5555555555	2
9/22/2011	9:49 PM	5555555555	1
9/22/2011	9:47 PM	5555555555	1
9/22/2011	9:45 PM	5555555555	1
9/22/2011	9:23 PM	5555555555	1
9/22/2011	9:19 PM	5555555555	1
9/22/2011	5:04 PM	5555555555	1
9/21/2011	9:52 PM	5555555555	4
9/21/2011	9:50 PM	5555555555	2
9/21/2011	7:18 PM	5555555555	1
9/21/2011	7:08 PM	5555555555	2
9/21/2011	5:28 PM	5555555555	1
9/21/2011	10:55 AM	5555555555	2
9/21/2011	10:43 AM	5555555555	1
9/21/2011	10:35 AM	5555555555	1
9/20/2011	4:27 PM	5555555555	1
9/20/2011	1:27 PM	5555555555	1
9/19/2011	6:00 PM	5555555555	1
9/19/2011	1:46 PM	5555555555	2
9/19/2011	11:03 AM	5555555555	2
9/18/2011	8:59 PM	5555555555	6
9/17/2011	11:48 AM	5555555555	3
9/16/2011	12:18 PM	5555555555	2
9/16/2011	12:18 PM	5555555555	1
9/16/2011	10:35 AM	5555555555	1
9/15/2011	5:35 PM	5555555555	2
9/15/2011	3:42 PM	5555555555	1
9/14/2011	10:41 PM	5555555555	7
9/14/2011	10:38 PM	5555555555	3
9/14/2011	10:37 PM	5555555555	1
9/14/2011	10:34 PM	5555555555	1
9/14/2011	5:52 PM	5555555555	22
9/14/2011	5:40 PM	5555555555	1
9/13/2011	8:53 PM	5555555555	1
9/13/2011	8:03 PM	5555555555	3
9/13/2011	9:41 AM	5555555555	3
9/13/2011	9:16 AM	5555555555	3
9/12/2011	6:47 PM	5555555555	2
9/12/2011	6:22 PM	5555555555	1
9/11/2011	3:17 PM	5555555555	7
9/10/2011	8:51 PM	5555555555	1
9/10/2011	8:51 PM	5555555555	1
9/10/2011	6:48 PM	5555555555	1
9/10/2011	6:47 PM	5555555555	1
9/10/2011	6:38 PM	5555555555	1
9/10/2011	5:22 PM	5555555555	1
9/10/2011	5:18 PM	5555555555	1
9/8/2011	11:37 AM	5555555555	1
9/7/2011	7:26 PM	5555555555	2
9/7/2011	7:25 PM	5555555555	1
9/7/2011	6:27 PM	5555555555	1
9/7/2011	6:23 PM	5555555555	2
9/7/2011	4:18 PM	5555555555	2
9/6/2011	6:20 PM	5555555555	1
9/6/2011	6:19 PM	5555555555	1
9/6/2011	6:19 PM	5555555555	1
9/6/2011	6:00 PM	5555555555	2
9/6/2011	12:47 PM	5555555555	6
9/5/2011	6:15 PM	5555555555	1
9/5/2011	6:12 PM	5555555555	1
9/4/2011	6:57 PM	5555555555	6
9/3/2011	12:23 PM	5555555555	1
